2024-10-21 13:14:48,899 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.4270328632990519, accuracy: 0.5235416666666667
2024-10-21 13:14:49,062 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.482538817723592, accuracy: 0.5258333333333334
2024-10-21 13:14:51,330 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.6238246707121531, accuracy: 0.7916666666666666
2024-10-21 13:14:51,447 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.7112950066725413, accuracy: 0.7810416666666666
2024-10-21 13:15:10,430 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.083178496360779, accuracy: 0.6391666666666667
2024-10-21 13:15:10,463 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.8652248915036519, accuracy: 0.7425
2024-10-21 13:15:12,929 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.600870125691096, accuracy: 0.794375
2024-10-21 13:15:12,929 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.48724422057469685, accuracy: 0.84
2024-10-21 13:15:31,279 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.6126877476771673, accuracy: 0.7995833333333333
2024-10-21 13:15:31,414 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.6314268271128337, accuracy: 0.7947916666666667
2024-10-21 13:15:33,746 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.334108412861824, accuracy: 0.8841666666666667
2024-10-21 13:15:33,819 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.3573146146535873, accuracy: 0.8847916666666666
2024-10-21 13:15:51,789 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.3862212526798248, accuracy: 0.8760416666666667
2024-10-21 13:15:51,850 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.3808841105302175, accuracy: 0.8925
2024-10-21 13:15:54,214 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.2919382128119469, accuracy: 0.9029166666666667
2024-10-21 13:15:54,271 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.18487239097555477, accuracy: 0.9502083333333333
2024-10-21 13:16:12,242 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.39898041864236194, accuracy: 0.8670833333333333
2024-10-21 13:16:12,364 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.44826478362083433, accuracy: 0.8495833333333334
2024-10-21 13:16:14,659 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.257051587899526, accuracy: 0.908125
2024-10-21 13:16:14,774 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.3564437633752823, accuracy: 0.8820833333333333
2024-10-21 13:16:32,729 - model_logger - INFO - [ITERATION 5 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.26290406465530397, accuracy: 0.9297916666666667
2024-10-21 13:16:32,794 - model_logger - INFO - [ITERATION 5 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.38023090561230977, accuracy: 0.8725
2024-10-21 13:16:35,146 - model_logger - INFO - [ITERATION 5 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.14245454316337902, accuracy: 0.96125
2024-10-21 13:16:35,204 - model_logger - INFO - [ITERATION 5 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.3094861360390981, accuracy: 0.895625
2024-10-21 13:16:53,178 - model_logger - INFO - [ITERATION 6 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.31884386837482454, accuracy: 0.8908333333333334
2024-10-21 13:16:53,340 - model_logger - INFO - [ITERATION 6 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.4832316199938456, accuracy: 0.8425
2024-10-21 13:16:55,594 - model_logger - INFO - [ITERATION 6 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.2664424377679825, accuracy: 0.910625
2024-10-21 13:16:55,746 - model_logger - INFO - [ITERATION 6 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.33443200707435605, accuracy: 0.8852083333333334
2024-10-21 13:17:13,758 - model_logger - INFO - [ITERATION 7 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.5396723854541778, accuracy: 0.8208333333333333
2024-10-21 13:17:13,859 - model_logger - INFO - [ITERATION 7 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.30827716797590254, accuracy: 0.908125
2024-10-21 13:17:16,167 - model_logger - INFO - [ITERATION 7 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.4036912260452906, accuracy: 0.8570833333333333
2024-10-21 13:17:16,284 - model_logger - INFO - [ITERATION 7 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.19082216948270797, accuracy: 0.9425
2024-10-21 13:17:34,311 - model_logger - INFO - [ITERATION 8 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.32914747615655265, accuracy: 0.8879166666666667
2024-10-21 13:17:34,312 - model_logger - INFO - [ITERATION 8 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.37089196960131326, accuracy: 0.87375
2024-10-21 13:17:36,734 - model_logger - INFO - [ITERATION 8 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.2407168337702751, accuracy: 0.9164583333333334
2024-10-21 13:17:36,734 - model_logger - INFO - [ITERATION 8 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.24808487792809805, accuracy: 0.9170833333333334
2024-10-21 13:17:54,798 - model_logger - INFO - [ITERATION 9 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.2636063100894292, accuracy: 0.908125
2024-10-21 13:17:54,798 - model_logger - INFO - [ITERATION 9 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.19717587456107138, accuracy: 0.945625
2024-10-21 13:17:57,182 - model_logger - INFO - [ITERATION 9 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.10183768048882484, accuracy: 0.9733333333333334
2024-10-21 13:17:57,210 - model_logger - INFO - [ITERATION 9 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.2120716737707456, accuracy: 0.925625
2024-10-21 13:18:15,249 - model_logger - INFO - [ITERATION 10 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.42134924709796906, accuracy: 0.85875
2024-10-21 13:18:15,302 - model_logger - INFO - [ITERATION 10 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.40758901119232177, accuracy: 0.8639583333333334
2024-10-21 13:18:17,458 - model_logger - INFO - [ITERATION 10 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.2804806900024414, accuracy: 0.9029166666666667
2024-10-21 13:18:17,478 - model_logger - INFO - [ITERATION 10 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.2867573670546214, accuracy: 0.899375
2024-10-21 13:18:35,805 - model_logger - INFO - [ITERATION 11 | EPOCH 0 | NODE 8] Training on 8 results: loss: 0.3230227281649907, accuracy: 0.8904166666666666
2024-10-21 13:18:35,805 - model_logger - INFO - [ITERATION 11 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.28484804918368656, accuracy: 0.9
2024-10-21 13:18:38,259 - model_logger - INFO - [ITERATION 11 | EPOCH 1 | NODE 8] Training on 8 results: loss: 0.20770395209391912, accuracy: 0.9320833333333334
2024-10-21 13:18:38,259 - model_logger - INFO - [ITERATION 11 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.23296143690745036, accuracy: 0.918125
2024-10-21 13:18:56,232 - model_logger - INFO - [ITERATION 12 | EPOCH 0 | NODE 8] Training on 8 results: loss: 0.22645978401104608, accuracy: 0.926875
2024-10-21 13:18:56,295 - model_logger - INFO - [ITERATION 12 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.2858737458785375, accuracy: 0.9029166666666667
2024-10-21 13:18:58,631 - model_logger - INFO - [ITERATION 12 | EPOCH 1 | NODE 8] Training on 8 results: loss: 0.1760819078485171, accuracy: 0.9439583333333333
2024-10-21 13:18:58,688 - model_logger - INFO - [ITERATION 12 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.189406921962897, accuracy: 0.935625
2024-10-21 13:19:16,506 - model_logger - INFO - [ITERATION 13 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.14617307230830193, accuracy: 0.9589583333333334
2024-10-21 13:19:16,539 - model_logger - INFO - [ITERATION 13 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.21394862920045854, accuracy: 0.9372916666666666
2024-10-21 13:19:18,854 - model_logger - INFO - [ITERATION 13 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.08566001196702322, accuracy: 0.974375
2024-10-21 13:19:18,854 - model_logger - INFO - [ITERATION 13 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.14380455479025842, accuracy: 0.9570833333333333
2024-10-21 13:19:36,805 - model_logger - INFO - [ITERATION 14 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.48027013301849364, accuracy: 0.8364583333333333
2024-10-21 13:19:36,905 - model_logger - INFO - [ITERATION 14 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.3275726024309794, accuracy: 0.89
2024-10-21 13:19:39,023 - model_logger - INFO - [ITERATION 14 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.3325022780895233, accuracy: 0.8827083333333333
2024-10-21 13:19:39,197 - model_logger - INFO - [ITERATION 14 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.2079642618695895, accuracy: 0.9279166666666666
2024-10-21 13:19:57,015 - model_logger - INFO - [ITERATION 15 | EPOCH 0 | NODE 8] Training on 8 results: loss: 0.2381692597270012, accuracy: 0.9164583333333334
2024-10-21 13:19:57,114 - model_logger - INFO - [ITERATION 15 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.31562326749165853, accuracy: 0.8925
2024-10-21 13:19:59,452 - model_logger - INFO - [ITERATION 15 | EPOCH 1 | NODE 8] Training on 8 results: loss: 0.15603573262691497, accuracy: 0.948125
