2024-10-21 14:50:27,306 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.8877264041649667, accuracy: 0.7064583333333333
2024-10-21 14:50:27,409 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.9842898696660995, accuracy: 0.6670833333333334
2024-10-21 14:50:29,383 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.3327856467742669, accuracy: 0.8797916666666666
2024-10-21 14:50:29,478 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.4182652925190173, accuracy: 0.8566666666666667
2024-10-21 14:50:48,131 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.7139442053280378, accuracy: 0.7579166666666667
2024-10-21 14:50:48,388 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.5785572630794424, accuracy: 0.815
2024-10-21 14:50:50,186 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.41615720524599675, accuracy: 0.8475
2024-10-21 14:50:50,452 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.3284454737838946, accuracy: 0.883125
2024-10-21 14:51:07,752 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.3934275809871523, accuracy: 0.865625
2024-10-21 14:51:07,860 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.38182308446419866, accuracy: 0.8697916666666666
2024-10-21 14:51:09,826 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.2621604251234155, accuracy: 0.9072916666666667
2024-10-21 14:51:09,931 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.25434167173347977, accuracy: 0.9077083333333333
2024-10-21 14:51:27,110 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.2957080673230322, accuracy: 0.9
2024-10-21 14:51:27,295 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.20475619345119125, accuracy: 0.9427083333333334
2024-10-21 14:51:29,061 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.20800014585256577, accuracy: 0.9227083333333334
2024-10-21 14:51:29,312 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.11137669396243598, accuracy: 0.9666666666666667
2024-10-21 14:51:46,108 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.3148307008178611, accuracy: 0.8858333333333334
2024-10-21 14:51:46,262 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.3851874345227292, accuracy: 0.8633333333333333
2024-10-21 14:51:48,185 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.21752641546098808, accuracy: 0.9179166666666667
2024-10-21 14:51:48,337 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.25806587738426107, accuracy: 0.9052083333333333
2024-10-21 14:52:05,470 - model_logger - INFO - [ITERATION 5 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.1727615057637817, accuracy: 0.950625
2024-10-21 14:52:05,571 - model_logger - INFO - [ITERATION 5 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.34736545540784536, accuracy: 0.8797916666666666
2024-10-21 14:52:07,530 - model_logger - INFO - [ITERATION 5 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.09020832259404032, accuracy: 0.9720833333333333
2024-10-21 14:52:07,631 - model_logger - INFO - [ITERATION 5 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.23672802040451452, accuracy: 0.9177083333333333
2024-10-21 14:52:24,518 - model_logger - INFO - [ITERATION 6 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.31731669879273366, accuracy: 0.888125
2024-10-21 14:52:24,681 - model_logger - INFO - [ITERATION 6 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.38233239987963125, accuracy: 0.8635416666666667
2024-10-21 14:52:26,456 - model_logger - INFO - [ITERATION 6 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.22389592896950872, accuracy: 0.918125
2024-10-21 14:52:26,719 - model_logger - INFO - [ITERATION 6 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.26514607275787155, accuracy: 0.9047916666666667
2024-10-21 14:52:43,460 - model_logger - INFO - [ITERATION 7 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.46391094515198156, accuracy: 0.831875
2024-10-21 14:52:43,623 - model_logger - INFO - [ITERATION 7 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.2472718679591229, accuracy: 0.9260416666666667
2024-10-21 14:52:45,524 - model_logger - INFO - [ITERATION 7 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.3201145584646024, accuracy: 0.87875
2024-10-21 14:52:45,684 - model_logger - INFO - [ITERATION 7 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.14983460895325007, accuracy: 0.9483333333333334
2024-10-21 14:53:02,772 - model_logger - INFO - [ITERATION 8 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.29153472694911453, accuracy: 0.895
2024-10-21 14:53:03,097 - model_logger - INFO - [ITERATION 8 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.2879074353136514, accuracy: 0.8935416666666667
2024-10-21 14:53:04,723 - model_logger - INFO - [ITERATION 8 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.19868254367458194, accuracy: 0.9295833333333333
2024-10-21 14:53:05,081 - model_logger - INFO - [ITERATION 8 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.21078592911362648, accuracy: 0.9202083333333333
2024-10-21 14:53:22,336 - model_logger - INFO - [ITERATION 9 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.2678932637760514, accuracy: 0.9004166666666666
2024-10-21 14:53:22,351 - model_logger - INFO - [ITERATION 9 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.13604875712802536, accuracy: 0.9627083333333334
2024-10-21 14:53:24,260 - model_logger - INFO - [ITERATION 9 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.07186476597072262, accuracy: 0.9785416666666666
2024-10-21 14:53:24,260 - model_logger - INFO - [ITERATION 9 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.19182624373781054, accuracy: 0.9291666666666667
2024-10-21 14:53:41,805 - model_logger - INFO - [ITERATION 10 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.36773347972255005, accuracy: 0.8735416666666667
2024-10-21 14:53:41,906 - model_logger - INFO - [ITERATION 10 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.3352579180347292, accuracy: 0.8845833333333334
2024-10-21 14:53:43,836 - model_logger - INFO - [ITERATION 10 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.24705485332953303, accuracy: 0.9075
2024-10-21 14:53:43,928 - model_logger - INFO - [ITERATION 10 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.22818488235536374, accuracy: 0.9110416666666666
2024-10-21 14:54:00,936 - model_logger - INFO - [ITERATION 11 | EPOCH 0 | NODE 8] Training on 8 results: loss: 0.2552160391289937, accuracy: 0.9158333333333334
2024-10-21 14:54:01,094 - model_logger - INFO - [ITERATION 11 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.30008848442843084, accuracy: 0.8870833333333333
2024-10-21 14:54:03,028 - model_logger - INFO - [ITERATION 11 | EPOCH 1 | NODE 8] Training on 8 results: loss: 0.1617900817409942, accuracy: 0.94375
2024-10-21 14:54:03,186 - model_logger - INFO - [ITERATION 11 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.2065117678752071, accuracy: 0.9191666666666667
